# True_Mass_GeV  Predicted_Mass_GeV  Resolution_GeV
511.51  501.54  -9.97
480.91  413.20  -67.72
721.77  754.40  32.64
455.06  422.66  -32.40
954.73  766.71  -188.02
527.41  452.00  -75.41
496.43  448.05  -48.38
436.23  456.92  20.69
624.17  692.75  68.58
370.27  378.50  8.24
394.18  418.84  24.66
467.25  421.63  -45.62
405.41  427.44  22.03
373.38  403.81  30.42
483.43  441.32  -42.11
582.36  624.98  42.63
373.85  436.78  62.93
507.21  533.54  26.33
566.64  632.97  66.33
1008.94  1043.80  34.86
475.34  467.32  -8.02
528.20  449.83  -78.37
571.31  550.28  -21.02
367.53  419.52  51.98
359.73  418.62  58.88
466.19  434.05  -32.14
547.81  687.01  139.20
407.87  460.18  52.31
509.86  483.34  -26.52
435.84  453.25  17.42
381.00  377.46  -3.54
669.09  589.03  -80.07
648.82  594.58  -54.24
493.87  534.55  40.68
415.45  400.70  -14.75
601.28  614.26  12.98
386.70  386.64  -0.07
454.97  413.70  -41.27
633.74  492.69  -141.05
466.68  396.65  -70.03
381.85  431.80  49.96
588.67  626.64  37.98
389.72  451.53  61.81
474.22  414.58  -59.63
412.23  384.49  -27.75
677.74  638.96  -38.78
655.00  568.74  -86.26
410.53  401.71  -8.82
572.48  643.89  71.41
476.55  466.27  -10.29
514.47  608.91  94.44
364.32  385.53  21.21
400.46  458.78  58.33
704.48  670.47  -34.01
482.13  444.47  -37.65
388.27  405.37  17.10
521.85  480.60  -41.25
517.48  434.19  -83.29
526.57  551.70  25.13
498.87  638.34  139.47
724.94  776.83  51.89
475.96  612.55  136.60
570.22  552.53  -17.69
576.34  439.98  -136.36
427.43  448.46  21.03
390.06  395.91  5.84
467.35  408.32  -59.04
398.57  466.25  67.68
523.90  521.61  -2.30
372.48  449.40  76.92
427.31  458.83  31.52
504.06  489.87  -14.19
791.98  766.89  -25.10
433.20  424.08  -9.11
604.91  534.87  -70.04
612.07  672.79  60.72
612.01  578.41  -33.60
493.88  486.22  -7.67
689.32  584.55  -104.77
430.34  433.45  3.12
539.69  526.83  -12.86
376.09  447.39  71.30
897.24  908.52  11.28
543.08  575.40  32.32
517.27  464.19  -53.07
476.54  539.26  62.72
379.07  389.91  10.84
612.25  601.79  -10.46
515.31  480.95  -34.37
527.68  633.57  105.89
1200.04  1085.41  -114.63
512.84  439.68  -73.17
741.26  722.50  -18.76
357.45  389.73  32.28
538.30  460.87  -77.43
368.16  422.98  54.83
507.00  593.76  86.76
485.62  398.96  -86.65
834.54  829.97  -4.56
429.56  471.75  42.19
936.78  860.85  -75.93
662.08  558.31  -103.77
651.39  568.05  -83.33
671.58  543.04  -128.54
453.85  485.91  32.05
507.42  559.49  52.06
552.47  550.59  -1.88
375.01  397.36  22.35
1204.62  1156.58  -48.04
573.32  550.94  -22.38
590.01  569.63  -20.39
931.17  726.33  -204.84
506.06  403.84  -102.22
592.80  483.30  -109.50
465.85  407.63  -58.22
814.26  614.71  -199.55
536.94  512.93  -24.01
464.92  433.21  -31.70
490.32  518.71  28.38
469.97  499.72  29.76
367.11  436.26  69.15
713.89  583.05  -130.84
440.05  540.70  100.66
876.04  992.01  115.98
608.80  485.14  -123.66
746.40  717.98  -28.41
878.98  702.24  -176.74
495.80  436.69  -59.11
365.72  422.12  56.40
400.78  408.16  7.39
530.42  566.80  36.38
503.56  537.14  33.58
727.61  665.71  -61.90
498.36  558.67  60.31
550.54  556.63  6.09
448.87  504.34  55.47
836.26  1012.26  176.00
727.34  477.25  -250.09
779.27  613.70  -165.57
786.54  795.98  9.44
393.50  456.65  63.15
455.53  448.07  -7.46
483.86  409.59  -74.27
513.03  525.21  12.18
496.28  563.35  67.07
732.43  554.60  -177.84
416.74  394.60  -22.13
438.10  469.21  31.11
434.05  440.26  6.21
514.05  655.88  141.84
492.46  433.62  -58.84
501.12  411.38  -89.74
759.61  675.06  -84.55
382.21  393.81  11.60
727.62  534.09  -193.53
441.08  513.84  72.76
498.86  586.53  87.68
357.18  399.03  41.86
446.60  491.40  44.80
355.96  396.93  40.97
362.50  376.00  13.50
502.71  484.13  -18.57
640.14  587.75  -52.39
729.43  711.05  -18.39
1007.88  1238.28  230.40
1631.31  1341.46  -289.85
401.50  408.47  6.97
561.22  533.15  -28.07
404.01  378.83  -25.19
556.12  557.93  1.81
426.11  466.32  40.21
567.73  607.02  39.29
451.33  442.58  -8.75
519.08  435.43  -83.64
418.08  403.69  -14.39
849.64  837.98  -11.66
596.34  531.35  -64.99
667.10  548.43  -118.66
441.98  457.29  15.32
378.53  413.81  35.28
438.54  433.70  -4.83
1194.47  1138.26  -56.20
781.43  511.41  -270.02
443.39  425.26  -18.12
515.82  418.73  -97.09
469.74  444.95  -24.79
524.30  585.44  61.15
577.27  528.01  -49.26
383.59  428.65  45.05
431.51  495.51  64.00
650.47  511.96  -138.51
742.04  760.44  18.39
821.67  802.34  -19.33
471.26  475.33  4.07
672.55  598.71  -73.85
449.16  453.75  4.58
434.07  394.04  -40.03
377.45  433.26  55.81
577.00  558.19  -18.81
507.88  480.79  -27.09
801.84  560.58  -241.26
629.81  579.77  -50.04
422.87  408.28  -14.58
540.78  440.06  -100.72
505.56  699.48  193.91
415.26  411.67  -3.59
358.53  372.15  13.62
496.79  480.46  -16.34
421.88  448.44  26.56
564.76  543.85  -20.91
414.63  425.29  10.66
431.95  397.15  -34.81
517.10  516.85  -0.25
520.27  699.36  179.09
496.27  451.24  -45.03
377.10  407.99  30.89
393.08  463.76  70.68
437.67  389.94  -47.73
678.45  645.72  -32.73
787.75  956.78  169.03
372.96  422.13  49.17
476.52  563.18  86.67
447.80  481.29  33.49
646.56  569.69  -76.87
632.33  652.21  19.88
354.53  376.89  22.36
435.80  408.03  -27.77
636.01  481.60  -154.42
373.59  383.39  9.80
505.85  423.92  -81.94
765.61  815.68  50.07
536.60  451.72  -84.88
691.26  674.61  -16.65
436.14  490.04  53.89
517.96  444.09  -73.86
702.59  907.28  204.69
471.62  428.83  -42.80
357.70  383.92  26.22
511.53  481.52  -30.01
381.30  407.32  26.02
375.61  388.96  13.35
625.79  466.42  -159.37
571.68  755.82  184.14
400.21  455.83  55.62
551.37  575.76  24.39
756.83  481.79  -275.03
554.63  410.22  -144.42
542.27  471.31  -70.96
386.83  424.69  37.86
361.04  403.47  42.43
544.42  546.35  1.92
355.31  409.37  54.06
590.56  457.28  -133.28
543.95  434.03  -109.91
414.70  541.09  126.39
442.00  441.05  -0.95
431.78  467.77  35.99
463.35  438.63  -24.72
530.32  496.77  -33.55
408.78  390.57  -18.21
879.32  629.32  -250.00
404.32  484.28  79.95
383.54  404.63  21.09
617.63  628.78  11.14
644.02  697.83  53.82
