# True_Mass_GeV  Predicted_Mass_GeV  Resolution_GeV
511.51  490.04  -21.47
480.91  411.32  -69.59
721.77  693.26  -28.51
455.06  424.82  -30.23
954.73  735.30  -219.42
527.41  466.01  -61.40
496.43  452.25  -44.18
436.23  459.46  23.22
624.17  781.13  156.96
370.27  383.07  12.81
394.18  415.02  20.84
467.25  413.69  -53.56
405.41  414.34  8.94
373.38  396.71  23.32
483.43  440.83  -42.60
582.36  622.65  40.30
373.85  420.97  47.11
507.21  538.10  30.89
566.64  639.35  72.70
1008.94  994.13  -14.81
475.34  469.35  -5.99
528.20  449.58  -78.62
571.31  546.50  -24.80
367.53  418.33  50.79
359.73  411.05  51.32
466.19  438.79  -27.40
547.81  572.29  24.49
407.87  448.69  40.82
509.86  529.91  20.05
435.84  470.62  34.79
381.00  394.08  13.08
669.09  563.35  -105.75
648.82  587.44  -61.39
493.87  525.14  31.27
415.45  462.13  46.68
601.28  600.54  -0.73
386.70  387.38  0.67
454.97  423.68  -31.30
633.74  514.02  -119.72
466.68  400.12  -66.56
381.85  428.11  46.26
588.67  606.33  17.66
389.72  432.56  42.84
474.22  437.49  -36.73
412.23  394.52  -17.71
677.74  647.15  -30.59
655.00  588.71  -66.29
410.53  409.06  -1.47
572.48  602.34  29.86
476.55  469.23  -7.32
514.47  606.40  91.94
364.32  387.27  22.95
400.46  460.29  59.84
704.48  587.37  -117.11
482.13  543.64  61.51
388.27  415.60  27.33
521.85  459.62  -62.23
517.48  441.26  -76.22
526.57  551.56  25.00
498.87  566.54  67.67
724.94  789.69  64.75
475.96  567.61  91.65
570.22  546.94  -23.29
576.34  430.64  -145.70
427.43  432.81  5.38
390.06  406.31  16.25
467.35  410.55  -56.81
398.57  472.01  73.44
523.90  507.48  -16.42
372.48  434.31  61.83
427.31  456.86  29.55
504.06  491.26  -12.79
791.98  773.44  -18.54
433.20  428.99  -4.21
604.91  569.14  -35.78
612.07  675.86  63.80
612.01  565.50  -46.51
493.88  474.06  -19.82
689.32  562.09  -127.23
430.34  441.23  10.90
539.69  571.69  32.00
376.09  442.29  66.20
897.24  892.58  -4.67
543.08  576.96  33.88
517.27  468.92  -48.35
476.54  544.34  67.80
379.07  396.15  17.08
612.25  586.79  -25.46
515.31  517.00  1.69
527.68  605.71  78.03
1200.04  1028.76  -171.28
512.84  438.05  -74.79
741.26  724.09  -17.17
357.45  389.87  32.42
538.30  442.85  -95.44
368.16  422.39  54.24
507.00  642.81  135.81
485.62  416.28  -69.34
834.54  822.50  -12.04
429.56  618.68  189.12
936.78  868.66  -68.12
662.08  548.43  -113.65
651.39  562.12  -89.26
671.58  533.39  -138.18
453.85  468.47  14.62
507.42  537.55  30.13
552.47  560.68  8.21
375.01  405.03  30.02
1204.62  1124.46  -80.16
573.32  520.80  -52.52
590.01  566.89  -23.12
931.17  768.13  -163.05
506.06  402.41  -103.65
592.80  479.57  -113.23
465.85  402.81  -63.04
814.26  615.53  -198.72
536.94  560.96  24.02
464.92  433.51  -31.40
490.32  486.75  -3.57
469.97  500.50  30.53
367.11  431.91  64.80
713.89  595.12  -118.77
440.05  512.45  72.40
876.04  839.21  -36.83
608.80  484.40  -124.40
746.40  642.05  -104.35
878.98  756.40  -122.58
495.80  434.39  -61.42
365.72  421.47  55.75
400.78  415.62  14.84
530.42  557.08  26.66
503.56  527.53  23.97
727.61  677.77  -49.84
498.36  542.65  44.28
550.54  536.71  -13.83
448.87  522.36  73.50
836.26  927.07  90.81
727.34  488.40  -238.94
779.27  643.97  -135.30
786.54  841.81  55.27
393.50  477.11  83.61
455.53  450.51  -5.01
483.86  414.83  -69.03
513.03  489.62  -23.41
496.28  559.02  62.75
732.43  547.42  -185.02
416.74  401.57  -15.17
438.10  444.40  6.29
434.05  416.63  -17.42
514.05  609.81  95.76
492.46  432.72  -59.74
501.12  424.52  -76.60
759.61  656.34  -103.27
382.21  396.19  13.97
727.62  509.40  -218.22
441.08  505.90  64.81
498.86  599.20  100.34
357.18  407.06  49.89
446.60  478.00  31.40
355.96  413.84  57.88
362.50  382.39  19.88
502.71  483.12  -19.59
640.14  571.82  -68.31
729.43  706.58  -22.85
1007.88  1211.87  203.99
1631.31  1434.68  -196.63
401.50  409.75  8.25
561.22  555.03  -6.19
404.01  392.07  -11.94
556.12  563.68  7.56
426.11  491.92  65.81
567.73  571.44  3.71
451.33  438.16  -13.17
519.08  418.22  -100.85
418.08  418.13  0.05
849.64  902.09  52.44
596.34  515.42  -80.92
667.10  580.01  -87.08
441.98  440.92  -1.06
378.53  430.76  52.23
438.54  433.60  -4.93
1194.47  988.26  -206.21
781.43  530.94  -250.50
443.39  428.27  -15.12
515.82  418.47  -97.34
469.74  438.23  -31.51
524.30  535.15  10.85
577.27  551.04  -26.23
383.59  432.30  48.71
431.51  515.25  83.74
650.47  554.34  -96.13
742.04  751.01  8.97
821.67  745.55  -76.12
471.26  477.08  5.82
672.55  566.49  -106.06
449.16  462.43  13.26
434.07  401.37  -32.71
377.45  435.32  57.87
577.00  554.12  -22.88
507.88  477.80  -30.08
801.84  575.28  -226.56
629.81  529.46  -100.35
422.87  403.55  -19.31
540.78  430.65  -110.13
505.56  689.23  183.67
415.26  424.33  9.07
358.53  379.89  21.36
496.79  468.81  -27.98
421.88  428.67  6.79
564.76  531.96  -32.80
414.63  437.02  22.39
431.95  398.74  -33.22
517.10  517.57  0.47
520.27  713.17  192.90
496.27  479.88  -16.39
377.10  428.74  51.64
393.08  433.81  40.73
437.67  406.03  -31.64
678.45  643.53  -34.92
787.75  951.61  163.86
372.96  424.38  51.41
476.52  526.27  49.76
447.80  482.61  34.81
646.56  606.54  -40.02
632.33  652.54  20.22
354.53  379.78  25.25
435.80  409.58  -26.21
636.01  472.54  -163.47
373.59  388.68  15.09
505.85  420.33  -85.52
765.61  758.14  -7.47
536.60  457.43  -79.16
691.26  646.35  -44.91
436.14  486.72  50.58
517.96  452.71  -65.24
702.59  867.25  164.66
471.62  425.59  -46.04
357.70  390.13  32.42
511.53  503.56  -7.97
381.30  420.74  39.44
375.61  391.04  15.43
625.79  473.59  -152.20
571.68  755.85  184.16
400.21  455.11  54.89
551.37  571.79  20.42
756.83  473.71  -283.12
554.63  420.88  -133.76
542.27  475.74  -66.53
386.83  430.18  43.35
361.04  406.03  45.00
544.42  562.39  17.97
355.31  416.03  60.72
590.56  458.29  -132.27
543.95  436.14  -107.81
414.70  516.45  101.75
442.00  440.49  -1.51
431.78  459.98  28.20
463.35  472.10  8.75
530.32  496.41  -33.91
408.78  411.47  2.69
879.32  607.15  -272.17
404.32  463.85  59.53
383.54  415.54  32.00
617.63  709.85  92.22
644.02  662.91  18.89
394.72  419.63  24.90
986.82  711.89  -274.92
449.53  420.93  -28.60
603.60  541.78  -61.82
332.12  379.69  47.58
521.83  444.11  -77.72
354.01  421.87  67.87
663.85  554.92  -108.93
682.69  501.02  -181.67
542.31  562.68  20.38
461.50  446.12  -15.38
804.77  708.98  -95.80
381.03  385.04  4.00
476.57  481.54  4.97
360.27  383.43  23.16
525.21  491.20  -34.01
362.74  409.73  46.99
493.20  489.80  -3.40
1480.64  853.95  -626.70
483.25  434.23  -49.02
669.96  645.29  -24.67
437.72  504.61  66.89
598.04  571.72  -26.32
457.30  392.78  -64.51
398.18  388.60  -9.57
398.57  431.70  33.13
650.82  711.11  60.29
457.53  457.83  0.30
456.30  489.05  32.75
600.27  629.15  28.88
468.30  509.43  41.13
467.73  540.04  72.31
486.60  483.90  -2.70
618.06  626.82  8.76
362.23  408.98  46.75
561.95  682.34  120.38
841.16  635.29  -205.87
631.90  559.36  -72.54
353.76  416.73  62.97
582.72  553.09  -29.63
708.87  737.95  29.07
618.05  631.11  13.06
496.62  494.03  -2.59
1401.14  1240.57  -160.57
573.74  685.08  111.34
687.28  768.27  80.99
456.49  452.79  -3.70
404.46  423.87  19.41
422.83  392.12  -30.71
568.92  574.99  6.07
502.53  422.66  -79.87
362.88  414.24  51.35
601.99  608.95  6.96
445.53  455.74  10.21
420.23  397.02  -23.21
878.84  762.71  -116.13
724.84  607.89  -116.95
486.49  501.51  15.03
546.63  463.06  -83.57
350.68  390.28  39.61
551.16  532.50  -18.66
721.35  587.96  -133.38
961.15  617.93  -343.22
610.98  563.54  -47.44
494.69  479.75  -14.94
859.35  908.25  48.90
461.60  396.42  -65.18
431.30  421.63  -9.67
466.11  480.52  14.42
411.01  416.50  5.49
426.60  471.80  45.19
541.57  476.91  -64.66
427.93  413.43  -14.49
813.91  765.89  -48.02
358.90  390.02  31.12
434.37  426.67  -7.70
775.87  741.25  -34.62
525.62  500.70  -24.92
381.57  415.98  34.41
786.06  490.03  -296.03
439.33  425.97  -13.35
446.73  436.77  -9.96
693.68  579.65  -114.03
369.57  386.42  16.85
500.02  645.74  145.72
694.45  851.10  156.65
451.26  402.40  -48.86
372.96  397.95  24.99
1684.85  1598.29  -86.57
380.57  411.31  30.75
659.42  646.71  -12.72
418.65  449.93  31.29
396.45  604.27  207.82
426.28  465.38  39.10
656.79  587.41  -69.39
379.45  410.69  31.24
568.75  475.13  -93.62
388.70  441.10  52.40
460.31  488.22  27.91
567.77  429.80  -137.97
623.49  618.52  -4.96
517.39  409.28  -108.11
770.14  792.91  22.77
1262.00  1041.19  -220.82
510.00  530.69  20.69
442.10  603.13  161.02
411.42  428.93  17.51
452.86  499.70  46.84
402.97  392.41  -10.56
480.50  424.54  -55.96
712.17  598.93  -113.23
607.70  604.72  -2.98
394.76  471.37  76.61
817.62  725.26  -92.37
486.21  497.47  11.26
570.70  438.32  -132.38
351.21  379.88  28.67
617.57  707.80  90.23
491.53  442.58  -48.95
763.87  726.56  -37.31
427.73  412.75  -14.99
495.52  537.06  41.54
672.48  619.43  -53.06
603.50  586.25  -17.25
427.80  430.59  2.79
614.59  543.96  -70.63
730.61  552.79  -177.81
642.60  684.80  42.20
380.74  398.25  17.51
